ano;bloco_origem;bloco_destino;modalidade;valor_reais;fonte;data_extracao
2007;E;M;FPEX;666634885.18;CTB-Resumo.xlsx;2026-09-02
2008;E;M;FPEX;737759216.2;CTB-Resumo.xlsx;2026-09-02
2009;E;M;FPEX;565803167.94;CTB-Resumo.xlsx;2026-09-02
2010;E;M;FPEX;737101712.87;CTB-Resumo.xlsx;2026-09-02
2011;E;M;FPEX;882040363.09;CTB-Resumo.xlsx;2026-09-02
2012;E;M;FPEX;848382245.13;CTB-Resumo.xlsx;2026-09-02
2013;E;M;FPEX;893460016.16;CTB-Resumo.xlsx;2026-09-02
2014;E;M;FPEX;972025350.75;CTB-Resumo.xlsx;2026-09-02
2015;E;M;FPEX;985426932.82;CTB-Resumo.xlsx;2026-09-02
2000;E;M;FUNDEF/FUNDEB;4989684814.96;CTB-Resumo.xlsx;2026-09-02
2001;E;M;FUNDEF/FUNDEB;5931824608.73;CTB-Resumo.xlsx;2026-09-02
2002;E;M;FUNDEF/FUNDEB;7068767065.49;CTB-Resumo.xlsx;2026-09-02
2003;E;M;FUNDEF/FUNDEB;8431509455.74;CTB-Resumo.xlsx;2026-09-02
2004;E;M;FUNDEF/FUNDEB;10083338066.16;CTB-Resumo.xlsx;2026-09-02
2005;E;M;FUNDEF/FUNDEB;11540989821.93;CTB-Resumo.xlsx;2026-09-02
2006;E;M;FUNDEF/FUNDEB;13198232985.1;CTB-Resumo.xlsx;2026-09-02
2007;E;M;FUNDEF/FUNDEB;15647027438.08;CTB-Resumo.xlsx;2026-09-02
